url_path,views_total,views_unique
/grp-bork/spire,11,5
/grp-bork/spire/tree/github-repo-stats,4,3
/grp-bork/spire/tree/main/.github/workflows,3,3
/grp-bork/spire/tree/github-repo-stats/grp-bork/spire,3,2
/grp-bork/spire/tree/dadf4a0e71dcba45ff9bf068c0253cccae8830cc/bin,2,1
/grp-bork/spire/blob/dadf4a0e71dcba45ff9bf068c0253cccae8830cc/main.nf,1,1
/grp-bork/spire/blob/dadf4a0e71dcba45ff9bf068c0253cccae8830cc/README.md,1,1
/grp-bork/spire/blob/github-repo-stats/grp-bork/spire/ghrs-data/views_clones_aggregate.csv,1,1
/grp-bork/spire/blob/main/clowm_info.json,1,1
/grp-bork/spire/blob/main/.github/workflows/github-repo-stats.yml,1,1
