time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,37,13,0,0
2026-04-12 00:00:00+00:00,28,10,0,0
2026-04-13 00:00:00+00:00,30,11,0,0
2026-04-14 00:00:00+00:00,9,3,0,0
2026-04-15 00:00:00+00:00,32,11,0,0
2026-04-16 00:00:00+00:00,18,7,0,0
2026-04-17 00:00:00+00:00,16,6,1,1
2026-04-18 00:00:00+00:00,17,7,0,0
2026-04-19 00:00:00+00:00,19,10,2,1
2026-04-20 00:00:00+00:00,39,16,0,0
2026-04-21 00:00:00+00:00,48,22,0,0
2026-04-22 00:00:00+00:00,61,24,0,0
2026-04-23 00:00:00+00:00,83,25,1,1
2026-04-24 00:00:00+00:00,52,21,0,0
