url_path,views_total,views_unique
/grp-bork/spire,10,6
/grp-bork/spire/blob/main/main.nf,5,1
/grp-bork/spire/blob/main/nextflow.config,3,1
/grp-bork/spire/blob/dadf4a0e71dcba45ff9bf068c0253cccae8830cc/main.nf,2,1
/grp-bork/spire/blob/main/nextflow_schema.json,2,1
/grp-bork/spire/commits/main,2,1
/grp-bork/spire/blob/01d88bdd38c9e4b0960a0f7fc1a8f1b536dace39/main.nf,1,1
/grp-bork/spire/blob/01d88bdd38c9e4b0960a0f7fc1a8f1b536dace39/nextflow.config,1,1
/grp-bork/spire/commit/01d88bdd38c9e4b0960a0f7fc1a8f1b536dace39,1,1
/grp-bork/spire/commit/86c807e25e9f507745a9b2d9762d19d222a6ac79,1,1
