url_path,views_total,views_unique
/grp-bork/spire,7,4
/grp-bork/spire/tree/dadf4a0e71dcba45ff9bf068c0253cccae8830cc,4,2
/grp-bork/spire/blob/main/main.nf,3,2
/grp-bork/spire/tree/main/.github/workflows,2,2
/grp-bork/spire/blob/dadf4a0e71dcba45ff9bf068c0253cccae8830cc/main.nf,2,1
/grp-bork/spire/blob/main/nextflow_schema.json,2,1
/grp-bork/spire/edit/main/nextflow_schema.json,2,1
/grp-bork/spire/blob/main/nextflow.config,1,1
/grp-bork/spire/tree/dadf4a0e71dcba45ff9bf068c0253cccae8830cc/docs,1,1
/grp-bork/spire/tree/main/docs,1,1
