time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-10 00:00:00+00:00,15,6,0,0
2026-08-11 00:00:00+00:00,22,8,0,0
2026-08-12 00:00:00+00:00,19,6,0,0
2026-08-13 00:00:00+00:00,9,4,0,0
2026-08-14 00:00:00+00:00,16,7,0,0
2026-08-15 00:00:00+00:00,1,1,0,0
2026-08-16 00:00:00+00:00,2,2,1,1
2026-08-17 00:00:00+00:00,12,5,1,1
2026-08-18 00:00:00+00:00,8,4,0,0
2026-08-19 00:00:00+00:00,11,5,1,1
2026-08-20 00:00:00+00:00,3,2,0,0
2026-08-21 00:00:00+00:00,6,4,0,0
2026-08-22 00:00:00+00:00,12,6,0,0
2026-08-23 00:00:00+00:00,2,2,6,3
