time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-12 00:00:00+00:00,2,2,,
2025-09-13 00:00:00+00:00,5,5,4.0,1.0
2025-09-14 00:00:00+00:00,4,4,,
2025-09-15 00:00:00+00:00,1,1,1.0,1.0
2025-09-16 00:00:00+00:00,1,1,35.0,4.0
2025-09-17 00:00:00+00:00,1,1,,
2025-09-18 00:00:00+00:00,6,4,1.0,1.0
2025-09-19 00:00:00+00:00,7,3,1.0,1.0
2025-09-20 00:00:00+00:00,5,5,,
2025-09-21 00:00:00+00:00,4,4,,
2025-09-22 00:00:00+00:00,3,3,,
2025-09-23 00:00:00+00:00,4,4,,
2025-09-24 00:00:00+00:00,10,2,11.0,1.0
2025-09-25 00:00:00+00:00,10,6,9.0,1.0
