time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-05 00:00:00+00:00,17,6,2,2
2026-05-06 00:00:00+00:00,22,9,1,1
2026-05-07 00:00:00+00:00,11,5,0,0
2026-05-08 00:00:00+00:00,33,11,0,0
2026-05-09 00:00:00+00:00,10,5,1,1
2026-05-10 00:00:00+00:00,8,3,0,0
2026-05-11 00:00:00+00:00,23,6,0,0
2026-05-12 00:00:00+00:00,30,7,0,0
2026-05-13 00:00:00+00:00,15,4,1,1
2026-05-14 00:00:00+00:00,33,11,0,0
2026-05-15 00:00:00+00:00,6,6,1,1
2026-05-16 00:00:00+00:00,16,7,0,0
2026-05-17 00:00:00+00:00,20,6,0,0
2026-05-18 00:00:00+00:00,25,8,0,0
