time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-09 00:00:00+00:00,15,7,0,0
2026-06-10 00:00:00+00:00,13,7,0,0
2026-06-11 00:00:00+00:00,12,6,0,0
2026-06-12 00:00:00+00:00,25,11,0,0
2026-06-13 00:00:00+00:00,24,8,0,0
2026-06-14 00:00:00+00:00,27,11,0,0
2026-06-15 00:00:00+00:00,25,9,0,0
2026-06-16 00:00:00+00:00,35,10,1,1
2026-06-17 00:00:00+00:00,10,5,0,0
2026-06-18 00:00:00+00:00,26,7,1,1
2026-06-19 00:00:00+00:00,45,9,3,3
2026-06-20 00:00:00+00:00,41,11,0,0
2026-06-21 00:00:00+00:00,38,9,0,0
2026-06-22 00:00:00+00:00,37,8,2,1
